188.165.251.162 - - [11/May/2024:00:00:09 -0500] "GET /2161 HTTP/1.1" 301 243 "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:00:09 -0500] "GET /blog/?p=2161 HTTP/1.1" 301 - "-" "-" www.s-anand.net 192.254.190.216
37.59.21.100 - - [11/May/2024:00:00:16 -0500] "GET /blog/hindi-songs-online/feed/ HTTP/1.1" 200 1382 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.66 Safari/537.36" www.s-anand.net 192.254.190.216
159.138.108.47 - - [11/May/2024:00:00:26 -0500] "GET /cgi-sys/403.html HTTP/2.0" 200 450 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.47" www.s-anand.net 192.254.190.216
159.138.108.47 - - [11/May/2024:00:00:26 -0500] "GET /hindi/AANDHI%20AUR%20TOOFAN HTTP/1.1" 101 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.47" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:00:37 -0500] "GET /2688 HTTP/1.1" 301 243 "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:00:37 -0500] "GET /blog/?p=2688 HTTP/1.1" 301 - "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:01:01 -0500] "GET /2701 HTTP/1.1" 301 243 "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:01:02 -0500] "GET /blog/?p=2701 HTTP/1.1" 301 - "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:01:28 -0500] "GET /40 HTTP/1.1" 301 241 "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:01:28 -0500] "GET /blog/?p=40 HTTP/1.1" 301 - "-" "-" www.s-anand.net 192.254.190.216
85.208.98.228 - - [11/May/2024:00:01:44 -0500] "GET /robots.txt HTTP/1.1" 200 195 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:01:53 -0500] "GET /blog/2000/ HTTP/1.1" 200 106698 "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:02:18 -0500] "GET /blog/2011/?id=263940515 HTTP/1.1" 200 157359 "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:02:45 -0500] "GET /blog/2011/?id=266282908 HTTP/1.1" 200 157359 "-" "-" www.s-anand.net 192.254.190.216
85.208.96.199 - - [11/May/2024:00:02:54 -0500] "GET /robots.txt HTTP/1.1" 406 226 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" www.s-anand.net 192.254.190.216
185.191.171.17 - - [11/May/2024:00:02:54 -0500] "GET /calvinandhobbes.html HTTP/1.1" 406 226 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:03:11 -0500] "GET /blog/2011/page/2/?id=268424693 HTTP/1.1" 200 150378 "-" "-" www.s-anand.net 192.254.190.216
66.249.65.165 - - [11/May/2024:00:03:16 -0500] "GET /hindi/Kyaa%20Kool%20Hai%20Hum HTTP/1.1" 403 450 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.6367.155 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:03:36 -0500] "GET /blog/abc-news-managed-to-smuggle-uranium/feed/ HTTP/1.1" 200 928 "-" "-" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:04:01 -0500] "GET /blog/category/how-i-do-things/page/2/?id=258221504 HTTP/1.1" 200 163885 "-" "-" www.s-anand.net 192.254.190.216
17.241.227.186 - - [11/May/2024:00:04:16 -0500] "GET /tamil/Thavamai_Thavamirunthu~Theme_Music HTTP/1.1" 200 2774 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" www.s-anand.net 192.254.190.216
188.165.251.162 - - [11/May/2024:00:04:29 -0500] "GET /blog/eating-more-for-less/?id=257757776 HTTP/1.1" 200 128378 "-" "-" www.s-anand.net 192.254.190.216
